project_id,project_code,project_name,ministry,sector,state,implementing_agency,original_cost,original_start_date,original_end_date,archetype,match_method,match_confidence
P_LEGACY_03B3D0CA4D04,LEG_03B3D0CA4D04,RAMGANJMUNDI-BHOPAL,Ministry of Road Transport & Highways,Transport & Logistics,GOA,WCR,3032.0,2001-04-01,2025-12-01,healthy,LEGACY_COMPOSITE_HASH,0.8
P_LEGACY_0C7BB6EC2939,LEG_0C7BB6EC2939,KHAGARIA-KUSHESHWAR ASTHAN (NL),Ministry of Road Transport & Highways,Transport & Logistics,ANDAMAN AND,ECR,614.45,1997-04-01,2024-12-01,severely_delayed,LEGACY_COMPOSITE_HASH,0.8
P_LEGACY_163C493D3D01,LEG_163C493D3D01,JIRIBAM TO IMPHAL (TUPUI)(NL)(NEFR),Ministry of Road Transport & Highways,Transport & Logistics,LADAKH,NFR,14322.79,2003-04-01,2026-12-01,severely_delayed,LEGACY_COMPOSITE_HASH,0.8
P_LEGACY_242068BAA6CA,LEG_242068BAA6CA,"NANGALDAM-TALWARA(NL),NR",Ministry of Road Transport & Highways,Transport & Logistics,GOA,NR,2018.0,1981-03-01,2025-12-01,severely_delayed,LEGACY_COMPOSITE_HASH,0.8
P_LEGACY_372C2D3ABAF2,LEG_372C2D3ABAF2,"RAMGANJMUNDI-BHOPAL (NL),WCR",Ministry of Road Transport & Highways,Transport & Logistics,LADAKH,WCR,3032.0,2001-04-01,2025-12-01,healthy,LEGACY_COMPOSITE_HASH,0.8
P_LEGACY_39EBA2473060,LEG_39EBA2473060,KHAGARIA-KUSHESHWAR ASTHAN (NL),Ministry of Road Transport & Highways,Transport & Logistics,Multi-State,ECR,614.45,1997-04-01,2024-12-01,severely_delayed,LEGACY_COMPOSITE_HASH,0.8
P_LEGACY_3B0A13D062A0,LEG_3B0A13D062A0,KOTLPALLI-NARASAPUR (NL),Ministry of Road Transport & Highways,Transport & Logistics,ANDAMAN AND,SCR,2500.98,2001-12-01,2028-03-01,deteriorating,LEGACY_COMPOSITE_HASH,0.8
P_LEGACY_4B9BFDAE6585,LEG_4B9BFDAE6585,TALCHER-,Ministry of Road Transport & Highways,Transport & Logistics,GOA,ECOR,1928.1,2005-04-01,2025-03-01,severely_delayed,LEGACY_COMPOSITE_HASH,0.8
P_LEGACY_4DF0250AC1E0,LEG_4DF0250AC1E0,KOTLPALLI-NARASAPUR (NL) (SCR),Ministry of Road Transport & Highways,Transport & Logistics,ANDAMAN AND,SCR,2500.98,2001-12-01,2028-03-01,deteriorating,LEGACY_COMPOSITE_HASH,0.8
P_LEGACY_5074ABCB15CF,LEG_5074ABCB15CF,"NANGALDAM-TALWARA(NL),NR",Ministry of Road Transport & Highways,Transport & Logistics,LADAKH,NR,2018.0,1981-03-01,2025-12-01,severely_delayed,LEGACY_COMPOSITE_HASH,0.8
P_LEGACY_52DB77CF9658,LEG_52DB77CF9658,BARH STPP(3X660MW) NTPC,Ministry of Power,Energy,Multi-State,NTPC,8692.97,2005-02-01,2011-10-01,severely_delayed,LEGACY_COMPOSITE_HASH,0.8
P_LEGACY_55BF1B5C75BE,LEG_55BF1B5C75BE,KOTLPALLI-NARASAPUR (NL) (SCR),Ministry of Road Transport & Highways,Transport & Logistics,Multi-State,SCR,2500.98,2001-12-01,2028-03-01,deteriorating,LEGACY_COMPOSITE_HASH,0.8
P_LEGACY_5D625A887DE5,LEG_5D625A887DE5,"KODERMA-TILAIYA (NL), ECR",Ministry of Road Transport & Highways,Transport & Logistics,GOA,ECR,1625.87,2002-04-01,2023-03-01,severely_delayed,LEGACY_COMPOSITE_HASH,0.8
P_LEGACY_60D025D61B7D,LEG_60D025D61B7D,GEVRA EXPANSION OCP (SECL),Ministry of Coal,Others,CHHATTISGARH,SECL,11816.4,2010-06-01,2023-03-01,severely_delayed,LEGACY_COMPOSITE_HASH,0.8
P_LEGACY_618ABB8C622B,LEG_618ABB8C622B,KHURDA ROAD-BOLANGIR(NL)ECOR,Ministry of Road Transport & Highways,Transport & Logistics,LADAKH,ECOR,3550.0,1994-04-01,2026-12-01,healthy,LEGACY_COMPOSITE_HASH,0.8
P_LEGACY_673250BA8470,LEG_673250BA8470,"HAJIPUR-SUGAULI VIA VAISHALI (NL), ECR",Ministry of Road Transport & Highways,Transport & Logistics,ANDAMAN AND,ECR,2066.78,2003-04-01,2014-12-01,severely_delayed,LEGACY_COMPOSITE_HASH,0.8
P_LEGACY_6B650D69FBA0,LEG_6B650D69FBA0,SUBANSIRI LOWER H.E.P (8X250 MW),Ministry of Power,Energy,Multi-State,NHPC,6285.33,2003-09-01,2010-09-01,severely_delayed,LEGACY_COMPOSITE_HASH,0.8
P_LEGACY_6D96AAA5961A,LEG_6D96AAA5961A,"LALITPUR-SATNA-REWA-SINGRULI NL,",Ministry of Road Transport & Highways,Transport & Logistics,LADAKH,NCR,8913.94,1998-09-01,2027-03-01,healthy,LEGACY_COMPOSITE_HASH,0.8
P_LEGACY_71D40CF67C8A,LEG_71D40CF67C8A,KHAGARIA-KUSHESHWAR,Ministry of Road Transport & Highways,Transport & Logistics,ANDAMAN AND,ECR,614.45,1997-04-01,2024-12-01,severely_delayed,LEGACY_COMPOSITE_HASH,0.8
P_LEGACY_73C2F617E4A4,LEG_73C2F617E4A4,"HAJIPUR-SUGAULI VIA VAISHALI (NL),",Ministry of Road Transport & Highways,Transport & Logistics,Multi-State,ECR,2066.78,2003-04-01,2014-12-01,severely_delayed,LEGACY_COMPOSITE_HASH,0.8
P_LEGACY_774031A6CC86,LEG_774031A6CC86,LALITPUR-SATNA-REWA-,Ministry of Road Transport & Highways,Transport & Logistics,GOA,WCR,8913.94,1998-09-01,2027-03-01,healthy,LEGACY_COMPOSITE_HASH,0.8
P_LEGACY_7DA518E3DF1C,LEG_7DA518E3DF1C,JIRIBAM TO IMPHAL,Ministry of Road Transport & Highways,Transport & Logistics,GOA,TUPUI)(NL)(NEFR,14322.79,2003-04-01,2026-12-01,severely_delayed,LEGACY_COMPOSITE_HASH,0.8
