raw_sl,ocms_code,num_code,name_slug,project_name,ministry,sector,state,implementing_agency,report_month,original_start_date,original_end_date,current_end_date,original_cost,revised_cost,cumulative_expenditure,physical_progress_pct,delay_days,issue_procurement_inferred,issue_land_inferred,issue_contractor_inferred,issue_approval_inferred,status,candidate_id,project_code,match_method,match_confidence,project_id
758,,,RAMGANJMUNDIBHOP,RAMGANJMUNDI-BHOPAL,Ministry of PETROLEUM,PETROLEUM,GOA,WCR,2025-04,4-2001,12/2025,12/2025,3032.0,3032.46,3423.9,69.0,0,0,0,0,0,ONGOING,LEGACY_03B3D0CA4D04,LEG_03B3D0CA4D04,LEGACY_COMPOSITE_HASH,0.8,P_LEGACY_03B3D0CA4D04
207,,,KHAGARIAKUSHESHW,KHAGARIA-KUSHESHWAR ASTHAN (NL),Ministry of POWER,POWER,ANDAMAN AND,ECR,2025-05,4-1997,12/2024,3/2027,614.45,614.45,483.35,52.0,810,0,0,0,0,ONGOING,LEGACY_0C7BB6EC2939,LEG_0C7BB6EC2939,LEGACY_COMPOSITE_HASH,0.8,P_LEGACY_0C7BB6EC2939
965,,,JIRIBAMTOIMPHALT,JIRIBAM TO IMPHAL (TUPUI)(NL)(NEFR),Ministry of RAILWAYS,RAILWAYS,LADAKH,NFR,2025-05,4-2003,12/2026,3/2028,14322.79,12274.06,15338.76,69.0,450,0,0,0,0,ONGOING,LEGACY_163C493D3D01,LEG_163C493D3D01,LEGACY_COMPOSITE_HASH,0.8,P_LEGACY_163C493D3D01
938,,,JIRIBAMTOIMPHALT,JIRIBAM TO IMPHAL (TUPUI)(NL)(NEFR),Ministry of RAILWAYS,RAILWAYS,LADAKH,NFR,2025-06,4-2003,12/2026,3/2028,14322.79,12274.06,15485.02,69.2,450,0,0,0,0,ONGOING,LEGACY_163C493D3D01,LEG_163C493D3D01,LEGACY_COMPOSITE_HASH,0.8,P_LEGACY_163C493D3D01
1061,,,NANGALDAMTALWARA,"NANGALDAM-TALWARA(NL),NR",Ministry of PETROLEUM,PETROLEUM,GOA,NR,2025-04,3-1981,12/2025,1/2027,2018.0,603.0,904.5,75.0,390,0,0,0,0,ONGOING,LEGACY_242068BAA6CA,LEG_242068BAA6CA,LEGACY_COMPOSITE_HASH,0.8,P_LEGACY_242068BAA6CA
749,,,RAMGANJMUNDIBHOP,"RAMGANJMUNDI-BHOPAL (NL),WCR",Ministry of RAILWAYS,RAILWAYS,LADAKH,WCR,2025-05,4-2001,12/2025,6/2026,3032.0,3032.46,3423.9,69.0,180,0,0,0,0,ONGOING,LEGACY_372C2D3ABAF2,LEG_372C2D3ABAF2,LEGACY_COMPOSITE_HASH,0.8,P_LEGACY_372C2D3ABAF2
205,,,KHAGARIAKUSHESHW,KHAGARIA-KUSHESHWAR ASTHAN (NL),Ministry of PETROLEUM,PETROLEUM,Multi-State,ECR,2025-06,4-1997,12/2024,3/2027,614.45,614.45,483.57,52.0,810,0,0,0,0,ONGOING,LEGACY_39EBA2473060,LEG_39EBA2473060,LEGACY_COMPOSITE_HASH,0.8,P_LEGACY_39EBA2473060
27,,,KOTLPALLINARASAP,KOTLPALLI-NARASAPUR (NL),Ministry of PETROLEUM,PETROLEUM,ANDAMAN AND,SCR,2025-04,12-2001,3/2028,3/2027,2500.98,2500.98,1141.44,18.0,0,0,0,0,0,ONGOING,LEGACY_3B0A13D062A0,LEG_3B0A13D062A0,LEGACY_COMPOSITE_HASH,0.8,P_LEGACY_3B0A13D062A0
1148,,,TALCHER,TALCHER-,Ministry of POWER,POWER,GOA,ECOR,2025-04,4-2005,3/2025,3/2026,1928.1,1928.07,1686.57,40.0,360,1,0,0,0,ONGOING,LEGACY_4B9BFDAE6585,LEG_4B9BFDAE6585,LEGACY_COMPOSITE_HASH,0.8,P_LEGACY_4B9BFDAE6585
27,,,KOTLPALLINARASAP,KOTLPALLI-NARASAPUR (NL) (SCR),Ministry of POWER,POWER,ANDAMAN AND,SCR,2025-05,12-2001,3/2028,3/2027,2500.98,2500.98,1141.44,18.0,0,0,0,0,0,ONGOING,LEGACY_4DF0250AC1E0,LEG_4DF0250AC1E0,LEGACY_COMPOSITE_HASH,0.8,P_LEGACY_4DF0250AC1E0
